Kueri Baseline;Kueri Refactored;Jumlah Properti WHERE Baseline;Jumlah Properti WHERE Refactored;Persentase Penurunan
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";1;1;0%
MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1);MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary:year_1997) RETURN count(n1);1;0;100%
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";MATCH (n3:music_department:death_2005)-[:COMPOSED]->(n1:romance:movie), (n3:music_department:death_2005)-[:COMPOSED]->(n2:documentary) RETURN count(n1);2;0;100%
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport:tvSpecial) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";2;1;50%
"MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""movie"") OR (n4.birth=1950) RETURN count(n1)";"CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actress:birth_1950)-[:ACTED_IN]->(n1:adventure), (n4:actress:birth_1950)-[:ACTED_IN]->(n2:drama), (n4:actress:birth_1950)-[:ACTED_IN]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actress:birth_1950)-[:ACTED_IN]->(n1:adventure), (n4:actress:birth_1950)-[:ACTED_IN]->(n2:drama), (n4:actress:birth_1950)-[:ACTED_IN]->(n3:drama:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";2;0;100%
"MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action) WHERE (n3.birth=1942) OR (n3.name=""Harrison Ford"") RETURN count(n1)";"CALL () {
  MATCH (n3:writer:birth_1942)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer:birth_1942)-[:ACTED_IN]->(n2:action)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action)
  WHERE n3.name=""Harrison Ford""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:writer:birth_1942)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer:birth_1942)-[:ACTED_IN]->(n2:action)
  WHERE n3.name=""Harrison Ford""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";2;1;50%
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";"MATCH (n1:actress:birth_1966)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous:birth_1966)-[:ACTED_IN]->(n3:adult), (n1:actress:birth_1966)-[:ACTED_IN]->(n4:adult:year_1995) WHERE (n1.name=""Christy Canyon"") RETURN count(n1)";3;1;67%
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";MATCH (n3:soundtrack:death_1976)-[:ACTED_IN]->(n2:drama:movie), (n3:soundtrack:death_1976)-[:ACTED_IN]->(n1:comedy:movie) RETURN count(n1);3;0;100%
"MATCH (n2:composer)-[:COMPOSED]->(n3:comedy), (n2:music_department)-[:COMPOSED]->(n1:animation) WHERE (n2.death=0) OR (n2.birth=0) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:composer:death_0)-[:COMPOSED]->(n3:comedy), (n2:music_department:death_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:composer:birth_0)-[:COMPOSED]->(n3:comedy), (n2:music_department:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:composer)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n2:composer:death_0:birth_0)-[:COMPOSED]->(n3:comedy), (n2:music_department:death_0:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n2:composer:death_0)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department:death_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n2:composer:birth_0)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n2:composer:death_0:birth_0)-[:COMPOSED]->(n3:comedy:movie), (n2:music_department:death_0:birth_0)-[:COMPOSED]->(n1:animation)
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";3;0;100%
"MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy) WHERE (n3.birth=1899) OR (n1.category=""short"") OR (n3.name=""Robert Agnew"") RETURN count(n1)";"CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t3
}
CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t12
}
CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t13
}
CALL () {
  MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t23
}
CALL () {
  MATCH (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n1:musical:short), (n3:assistant_director:birth_1899)-[:ACTED_IN]->(n2:comedy)
  WHERE n3.name=""Robert Agnew""
  RETURN count(*) AS t123
}
RETURN t1 + t2 + t3 - t12 - t13 - t23 + t123 AS total";3;1;67%
