"Kueri";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"336";"121785";"135.1"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";"1540";"1548197";"3448.4"
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"38180";"441227";"217.7"
"MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1)";"36015";"2664738";"1809.4"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama) WHERE (n2.year=1999) RETURN count(n1)";"29954847";"109098539";"24427.0"
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation) WHERE (n1.year=1973) RETURN count(n1)";"169";"1413271";"1098.5"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure) WHERE (n1.year=2008) RETURN count(n1)";"4761";"627944";"1027.2"
"MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western) WHERE (n2.year=1915) RETURN count(n1)";"5033";"78089";"61.5"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n1.year=2006) RETURN count(n1)";"16820";"572749";"427.3"
"MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance) WHERE (n1.year=2004) RETURN count(n1)";"298968";"109490480";"33041.9"
"MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama) WHERE (n4.year=1985) RETURN count(n1)";"228372016";"799006741";"118341.1"
"MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy), (n4:producer)-[:DIRECTED]->(n1:drama) WHERE (n2.year=0) RETURN count(n1)";"1179321";"102236112";"12364.5"
"MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi) WHERE (n3.year=2001) RETURN count(n1)";"884";"214625";"113.8"
"MATCH (n2:composer)-[:COMPOSED]->(n1:documentary), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) WHERE (n1.year=1965) RETURN count(n1)";"179184";"121750933";"12954.8"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action), (n1:music_department)-[:COMPOSED]->(n4:crime) WHERE (n2.year=1977) RETURN count(n1)";"4867524";"54486959";"4782.8"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.category=""tvMovie"") RETURN count(n1)";"557670";"3605008";"1923.5"
"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) WHERE (n3.category=""movie"") RETURN count(n1)";"100699616";"1455923704";"146363.2"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy) WHERE (n2.category=""movie"") RETURN count(n1)";"537335";"21334046";"1634.7"
