"Kueri";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"336";"21271158";"5796.6"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";"1540";"21274222";"8754.8"
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"38180";"22639443";"5144.0"
"MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1)";"36015";"966685050";"141159.3"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama) WHERE (n2.year=1999) RETURN count(n1)";"29954847";"126994156";"17918.4"
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation) WHERE (n1.year=1973) RETURN count(n1)";"169";"150170091";"33289.0"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure) WHERE (n1.year=2008) RETURN count(n1)";"4761";"22224982";"7909.7"
"MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western) WHERE (n2.year=1915) RETURN count(n1)";"5033";"41820724";"10934.2"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n1.year=2006) RETURN count(n1)";"16820";"23972270";"7746.9"
"MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance) WHERE (n1.year=2004) RETURN count(n1)";"298968";"130121959";"25703.1"
"MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama) WHERE (n4.year=1985) RETURN count(n1)";"228372016";"818421709";"98411.6"
"MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy), (n4:producer)-[:DIRECTED]->(n1:drama) WHERE (n2.year=0) RETURN count(n1)";"1179321";"130300904";"16790.7"
"MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi) WHERE (n3.year=2001) RETURN count(n1)";"884";"30050842";"6030.3"
"MATCH (n2:composer)-[:COMPOSED]->(n1:documentary), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) WHERE (n1.year=1965) RETURN count(n1)";"179184";"140103543";"21717.1"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action), (n1:music_department)-[:COMPOSED]->(n4:crime) WHERE (n2.year=1977) RETURN count(n1)";"4867524";"76749680";"10331.3"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.category=""tvMovie"") RETURN count(n1)";"557670";"23331580";"4739.9"
"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) WHERE (n3.category=""movie"") RETURN count(n1)";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy) WHERE (n2.category=""movie"") RETURN count(n1)";"537335";"41706662";"7581.8"
"MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) WHERE (n2.birth=1952) RETURN count(n1)";"5478924";"37776857";"5032.2"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) WHERE (n1.death=0) RETURN count(n1)";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1)";"2107";"27423221";"4009.3"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n1.birth=1957 AND n2.year=1987) RETURN count(n1)";"415249";"22110765";"2911.9"
"MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport) WHERE (n3.year=1950 AND n4.birth=1911) RETURN count(n1)";"11470";"20729025";"3673.7"
"MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation) WHERE (n2.category=""short"" AND n3.birth=1905) RETURN count(n1)";"551";"20770166";"3586.8"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult), (n1:actor)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n2.category=""video"") RETURN count(n1)";"91844700";"585755173";"97596.3"
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";"131";"20768303";"3765.6"
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";"2717";"23221090";"4274.7"
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";"84";"20315192";"3488.0"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"22780";"22599197";"3299.5"
"MATCH (n2:composer)-[:ACTED_IN]->(n4:music), (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:composer)-[:ACTED_IN]->(n1:music) WHERE (n1.category=""video"" AND n2.name=""Bob Geldof"") RETURN count(n1)";"27956";"22579599";"4858.4"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:documentary), (n1:actor)-[:ACTED_IN]->(n3:adventure) WHERE (n3.category=""movie"" AND n2.year=2007) RETURN count(n1)";"9277";"29053326";"6136.7"
"MATCH (n1:actor)-[:ACTED_IN]->(n3:comedy), (n1:actor)-[:ACTED_IN]->(n2:comedy) WHERE (n3.category=""tvSeries"" AND n3.year=1957) RETURN count(n1)";"36038";"21525325";"2976.8"
"MATCH (n2:director)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:war) WHERE (n1.category=""tvMovie"" AND n3.year=1990) RETURN count(n1)";"481";"25026473";"7198.5"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:documentary), (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n4.year=2007 AND n4.category=""tvSpecial"") RETURN count(n1)";"5491";"132662165";"53224.6"
"MATCH (n3:writer)-[:ACTED_IN]->(n4:adventure), (n3:writer)-[:ACTED_IN]->(n2:talk_show), (n3:actor)-[:ACTED_IN]->(n1:documentary) WHERE (n1.year=2016 AND n2.category=""tvSeries"") RETURN count(n1)";"54953";"196714307";"33285.9"
"MATCH (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:news), (n2:producer)-[:CINEMATOGRAPHER_OF]->(n3:documentary) WHERE (n2.death=1933 AND n3.year=1899) RETURN count(n1)";"2848";"19944515";"2798.6"
"MATCH (n3:producer)-[:PRODUCED]->(n2:sport), (n3:writer)-[:PRODUCED]->(n4:drama), (n3:producer)-[:WROTE]->(n1:drama) WHERE (n4.year=2008 AND n3.death=0) RETURN count(n1)";"655155";"25698156";"3551.7"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:documentary), (n3:actor)-[:ACTED_IN]->(n4:documentary), (n3:producer)-[:ACTED_IN]->(n2:thriller) WHERE (n3.death=0 AND n4.year=2004) RETURN count(n1)";"127171";"32627631";"7743.1"
"MATCH (n3:producer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:documentary), (n3:director)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:documentary) WHERE (n3.name=""Bernardo Bertolucci"" AND n2.year=2011) RETURN count(n1)";"6";"19987446";"3095.5"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:crime), (n3:director)-[:DIRECTED]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n4:talk_show) WHERE (n4.year=2009 AND n3.name=""John Sayles"") RETURN count(n1)";"18";"23647457";"5207.0"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:music_department)-[:COMPOSED]->(n1:documentary) WHERE (n3.name=""Philip Glass"" AND n3.birth=1937 AND n1.category=""video"") RETURN count(n1)";"603";"20344473";"3642.3"
"MATCH (n2:director)-[:ACTED_IN]->(n3:comedy), (n2:actor)-[:WROTE]->(n1:comedy) WHERE (n1.category=""movie"" AND n2.name=""John McDermott"" AND n2.birth=1893) RETURN count(n1)";"465";"21657673";"3713.5"
"MATCH (n3:script_department)-[:EDITED]->(n1:drama), (n3:miscellaneous)-[:EDITED]->(n4:drama), (n3:editor)-[:EDITED]->(n2:comedy) WHERE (n2.category=""movie"" AND n3.birth=0 AND n3.name=""Jorge Busto"") RETURN count(n1)";"2057928";"30693411";"5601.8"
"MATCH (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:family), (n4:director)-[:CINEMATOGRAPHER_OF]->(n2:comedy), (n4:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:war) WHERE (n4.birth=0 AND n4.name=""Guy Gonçalves"" AND n3.year=1997) RETURN count(n1)";"3";"20133588";"3436.5"
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";"95910";"20372663";"2828.7"
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";"7306";"20105799";"2537.1"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:documentary), (n2:producer)-[:ACTED_IN]->(n1:drama) WHERE (n3.category=""video"" AND n1.category=""movie"" AND n2.name=""Kevin Costner"") RETURN count(n1)";"858";"20712301";"3030.6"
"MATCH (n2:visual_effects)-[:ACTED_IN]->(n1:comedy), (n2:visual_effects)-[:ACTED_IN]->(n3:thriller), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n3.category=""short"" AND n2.name=""Steven Allen"" AND n1.category=""short"") RETURN count(n1)";"42";"20234004";"3232.1"
"MATCH (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:drama), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n4:thriller), (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n2:crime) WHERE (n1.category=""movie"" AND n3.name=""Ellsworth Fredericks"" AND n4.category=""movie"") RETURN count(n1)";"474";"20157488";"3380.9"
"MATCH (n3:producer)-[:EDITED]->(n1:documentary), (n3:editor)-[:EDITED]->(n2:documentary) WHERE (n1.category=""movie"" AND n1.year=2010 AND n2.category=""video"") RETURN count(n1)";"169";"21113272";"3604.5"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n3:news) WHERE (n3.category=""video"" AND n2.category=""movie"" AND n2.year=1974) RETURN count(n1)";"11";"21348101";"3109.9"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:comedy), (n1:actress)-[:ACTED_IN]->(n2:comedy), (n1:actress)-[:ACTED_IN]->(n4:comedy) WHERE (n3.year=1976 AND n2.category=""movie"" AND n3.category=""movie"") RETURN count(n1)";"596043";"62632337";"30414.3"
"MATCH (n3:producer)-[:ACTED_IN]->(n1:drama), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n3.death=0 AND n1.category=""movie"" AND n2.year=1988) RETURN count(n1)";"22066";"28129950";"4275.7"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:mystery) WHERE (n3.year=2010 AND n1.death=0 AND n2.category=""movie"") RETURN count(n1)";"19918";"23875162";"5960.4"
"MATCH (n3:actor)-[:DIRECTED]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:drama) WHERE (n2.year=1973 AND n3.name=""Hasan El-Emam"" AND n2.category=""movie"") RETURN count(n1)";"82";"26896512";"6323.3"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:drama), (n1:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""tvMovie"" AND n3.year=1962 AND n2.year=1958) RETURN count(n1)";"377";"21945950";"3104.2"
"MATCH (n4:actor)-[:ACTED_IN]->(n2:drama), (n4:soundtrack)-[:WROTE]->(n3:drama), (n4:director)-[:DIRECTED]->(n1:drama) WHERE (n1.year=1913 AND n2.year=1935 AND n3.category=""short"") RETURN count(n1)";"18";"19973300";"2538.6"
"MATCH (n1:actor)-[:ACTED_IN]->(n2:drama), (n1:actor)-[:ACTED_IN]->(n4:documentary), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n4.year=2005 AND n3.year=2016 AND n1.death=0) RETURN count(n1)";"394549";"48560115";"8274.8"
"MATCH (n4:director)-[:DIRECTED]->(n3:adult), (n4:cinematographer)-[:DIRECTED]->(n1:adult), (n4:writer)-[:CINEMATOGRAPHER_OF]->(n2:adult) WHERE (n1.year=2005 AND n4.death=0 AND n2.year=2002) RETURN count(n1)";"2354";"20385318";"2856.7"
"MATCH (n2:producer)-[:ACTED_IN]->(n3:romance), (n2:miscellaneous)-[:ACTED_IN]->(n1:comedy), (n2:actor)-[:ACTED_IN]->(n4:comedy) WHERE (n1.year=2019 AND n4.year=2008 AND n3.year=1999) RETURN count(n1)";"11";"21516520";"3109.8"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n3:music), (n2:soundtrack)-[:ACTED_IN]->(n1:music) WHERE (n1.year=1996 AND n2.birth=1947 AND n3.year=1983 AND n2.name=""Elton John"") RETURN count(n1)";"24";"20261657";"2713.1"
"MATCH (n1:actress)-[:ACTED_IN]->(n2:adult), (n1:actress)-[:ACTED_IN]->(n3:adult) WHERE (n1.name=""Kim Angeli"" AND n1.birth=1968 AND n3.year=1990 AND n2.year=1993) RETURN count(n1)";"22";"20099070";"2632.3"
