Kueri;Jumlah Hasil;DBHits;Running Time;;;ini =;;ini >;;ini >;;;;;;;
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";38180;441227;496.4;A;38180;TRUE;441227;FALSE;170.3;FALSE;;38180;TRUE;441227;FALSE;655.0;TRUE
MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1);36015;2664738;4250.2;A;36015;TRUE;1606500;FALSE;348.9;FALSE;;36015;TRUE;1478656;FALSE;2706.9;FALSE
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";84;167103;277.7;A AND B;84;TRUE;21246;FALSE;102.6;FALSE;;84;TRUE;18733;FALSE;97.7;TRUE
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";22780;1646888;349.3;A AND B;22780;TRUE;108656;FALSE;99.4;TRUE;;22780;TRUE;170180;FALSE;276.6;FALSE
"MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""movie"") OR (n4.birth=1950) RETURN count(n1)";244366134;1199740613;256704.4;A OR B;244366134;TRUE;1187735009;FALSE;179196.5;FALSE;;TIMEOUT;FALSE;TIMEOUT;TRUE;TIMEOUT;TRUE
"MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action) WHERE (n3.birth=1942) OR (n3.name=""Harrison Ford"") RETURN count(n1)";93;100880;875.5;A OR B;93;TRUE;127915;TRUE;1066.7;FALSE;;93;TRUE;119330;TRUE;1714.6;FALSE
"MATCH (n1:actress)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n2:adult), (n1:miscellaneous)-[:ACTED_IN]->(n3:adult), (n1:actress)-[:ACTED_IN]->(n4:adult) WHERE (n1.birth=1966 AND n1.name=""Christy Canyon"" AND n4.year=1995) RETURN count(n1)";95910;744699;845.7;A AND B AND C;95910;TRUE;433687;FALSE;101.5;FALSE;;95910;TRUE;360559;FALSE;158.8;FALSE
"MATCH (n3:soundtrack)-[:ACTED_IN]->(n2:drama), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n1.category=""movie"" AND n3.death=1976 AND n2.category=""movie"") RETURN count(n1)";7306;354901;389.4;A AND B AND C;7306;TRUE;218382;FALSE;66.7;TRUE;;7306;TRUE;154693;FALSE;110.3;FALSE
"MATCH (n2:composer)-[:COMPOSED]->(n3:comedy), (n2:music_department)-[:COMPOSED]->(n1:animation) WHERE (n2.death=0) OR (n2.birth=0) OR (n3.category=""movie"") RETURN count(n1)";10613023;118291975;24301.9;A OR B OR C;10613023;TRUE;740110411;TRUE;133724.7;FALSE;;10613023;TRUE;358541443;TRUE;54423.4;TRUE
"MATCH (n3:assistant_director)-[:ACTED_IN]->(n1:musical), (n3:assistant_director)-[:ACTED_IN]->(n2:comedy) WHERE (n3.birth=1899) OR (n1.category=""short"") OR (n3.name=""Robert Agnew"") RETURN count(n1)";1913;1146177;1525.5;A OR B OR C;1913;TRUE;657040;FALSE;1773.8;TRUE;;1913;TRUE;458843;FALSE;452.5;TRUE
"MATCH (n3:writer)-[:WROTE]->(n2:animation), (n3:writer)-[:WROTE]->(n4:drama), (n3:writer)-[:WROTE]->(n1:adventure) WHERE (n2.year=1978 AND n3.birth=0 AND n3.name=""Aleksandr Antokolsky"" AND n4.year=1960) RETURN count(n1)";1;665335;1398.7;A AND B AND C AND D;1;TRUE;70643;FALSE;97.2;TRUE;;1;TRUE;24571;FALSE;58.8;TRUE
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:ACTED_IN]->(n1:drama) WHERE (n2.year=1980 AND n3.birth=1937 AND n1.year=1992 AND n2.category=""movie"") RETURN count(n1)";46;3383580;2145.3;A AND B AND C AND D;46;TRUE;397790;FALSE;304.5;TRUE;;46;TRUE;864862;FALSE;188.7;FALSE
"MATCH (n3:actress)-[:ACTED_IN]->(n2:comedy), (n3:actress)-[:ACTED_IN]->(n1:comedy) WHERE (n2.year=1972 AND n3.name=""Danica Acimac"") OR (n1.year=1959 AND n3.birth=1928) RETURN count(n1)";3404;2401682;2047.9;(A AND B) OR (C AND D);3404;TRUE;281118;FALSE;212.6;TRUE;;3404;TRUE;215099;FALSE;184.5;FALSE
"MATCH (n2:actor)-[:ACTED_IN]->(n1:adventure), (n2:actor)-[:ACTED_IN]->(n3:animation) WHERE (n1.year=2011 AND n3.category=""short"") OR (n3.year=1999 AND n2.death=0) RETURN count(n1)";1854502;35767468;11945.6;(A AND B) OR (C AND D);1854502;TRUE;24838531;FALSE;6215.8;TRUE;;1854502;TRUE;36825184;TRUE;6535.3;TRUE
"MATCH (n3:editorial_department)-[:EDITED]->(n1:documentary), (n3:editorial_department)-[:EDITED]->(n2:biography) WHERE (n1.category=""movie"" AND n3.name=""Michel Klochendler"") OR (n1.year=2015 AND n2.year=2019) OR (n3.birth=1957 AND n3.death=0) RETURN count(n1)";950;267682;462.3;(A AND B) OR (C AND D) OR (E AND F);950;TRUE;547583;TRUE;1561.7;FALSE;;950;TRUE;295510;TRUE;366.6;FALSE
"MATCH (n3:camera_department)-[:CINEMATOGRAPHER_OF]->(n1:crime), (n3:cinematographer)-[:CINEMATOGRAPHER_OF]->(n2:adventure) WHERE (n2.year=1950 AND n3.death=1967) OR (n1.year=1941 AND n3.birth=1890) OR (n1.category=""movie"" AND n2.category=""movie"") RETURN count(n1)";50615;5462046;6400.2;(A AND B) OR (C AND D) OR (E AND F);50615;TRUE;39318868;TRUE;8114.0;TRUE;;50615;TRUE;6108311;TRUE;4372.4;FALSE
"MATCH (n1:actress)-[:ACTED_IN]->(n3:reality_tv), (n1:writer)-[:ACTED_IN]->(n2:horror) WHERE (n3.category=""tvSeries"" AND n1.name=""Clare Kramer"" AND n2.year=2006) OR (n2.category=""movie"" AND n1.death=0 AND n1.birth=1974) RETURN count(n1)";33;754295;2295.8;(A AND B AND C) OR (D AND E AND F);33;TRUE;793959;TRUE;1210.9;FALSE;;33;TRUE;1222620;TRUE;258.6;TRUE
"MATCH (n2:writer)-[:ACTED_IN]->(n3:action), (n2:producer)-[:ACTED_IN]->(n1:comedy) WHERE (n3.year=2003 AND n2.birth=1975 AND n3.category=""movie"") OR (n2.death=0 AND n1.year=2005 AND n1.category=""movie"") RETURN count(n1)";5165;52011856;22830.6;(A AND B AND C) OR (D AND E AND F);5165;TRUE;910468;FALSE;881.0;TRUE;;5165;TRUE;585156;FALSE;293.6;TRUE
