"Kueri Baseline";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n4:writer)-[:ACTED_IN]->(n3:comedy), (n4:actor)-[:ACTED_IN]->(n1:drama), (n4:actor)-[:ACTED_IN]->(n2:drama) WHERE (n4.birth=1877) OR (n4.death=1950) RETURN count(n1)";"CALL () {
  MATCH (n4:writer:birth_1877)-[:ACTED_IN]->(n3:comedy), (n4:actor:birth_1877)-[:ACTED_IN]->(n1:drama), (n4:actor:birth_1877)-[:ACTED_IN]->(n2:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:writer:death_1950)-[:ACTED_IN]->(n3:comedy), (n4:actor:death_1950)-[:ACTED_IN]->(n1:drama), (n4:actor:death_1950)-[:ACTED_IN]->(n2:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:writer:birth_1877:death_1950)-[:ACTED_IN]->(n3:comedy), (n4:actor:birth_1877:death_1950)-[:ACTED_IN]->(n1:drama), (n4:actor:birth_1877:death_1950)-[:ACTED_IN]->(n2:drama)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"2296374";"22483325";"4826.1"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:animation), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n3.birth=1908) OR (n2.category=""short"") RETURN count(n1)";"CALL () {
  MATCH (n3:actor:birth_1908)-[:ACTED_IN]->(n2:animation), (n3:soundtrack:birth_1908)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n2:animation:short), (n3:soundtrack)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor:birth_1908)-[:ACTED_IN]->(n2:animation:short), (n3:soundtrack:birth_1908)-[:ACTED_IN]->(n1:comedy)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"3935794";"33885770";"14626.8"
"MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama) WHERE (n3.category=""movie"") OR (n4.birth=1950) RETURN count(n1)";"CALL () {
  MATCH (n4:actress)-[:ACTED_IN]->(n1:adventure), (n4:actress)-[:ACTED_IN]->(n2:drama), (n4:actress)-[:ACTED_IN]->(n3:drama:movie)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:actress:birth_1950)-[:ACTED_IN]->(n1:adventure), (n4:actress:birth_1950)-[:ACTED_IN]->(n2:drama), (n4:actress:birth_1950)-[:ACTED_IN]->(n3:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:actress:birth_1950)-[:ACTED_IN]->(n1:adventure), (n4:actress:birth_1950)-[:ACTED_IN]->(n2:drama), (n4:actress:birth_1950)-[:ACTED_IN]->(n3:drama:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"244366134";"1167240612";"261603.6"
"MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action) WHERE (n3.birth=1942) OR (n3.name=""Harrison Ford"") RETURN count(n1)";"CALL () {
  MATCH (n3:writer:birth_1942)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer:birth_1942)-[:ACTED_IN]->(n2:action)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:writer)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer)-[:ACTED_IN]->(n2:action)
  WHERE n3.name=""Harrison Ford""
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:writer:birth_1942)-[:ARCHIVE_FOOTAGE_MAKER_OF]->(n1:sci_fi), (n3:writer:birth_1942)-[:ACTED_IN]->(n2:action)
  WHERE n3.name=""Harrison Ford""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"A";"50%";"93";"119330";"593.6"
"MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy) WHERE (n1.category=""tvSeries"") OR (n2.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama:tvSeries), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:miscellaneous)-[:ACTED_IN]->(n1:drama:tvSeries), (n3:miscellaneous)-[:ACTED_IN]->(n2:comedy:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"1121494";"20247853";"18330.5"
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama) WHERE (n1.category=""short"") OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy:short), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama:movie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n1:comedy:short), (n2:director)-[:CINEMATOGRAPHER_OF]->(n3:drama:movie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"502970";"13901546";"9673.1"
"MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:documentary) WHERE (n2.category=""video"") OR (n3.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary:video), (n1:writer)-[:DIRECTED]->(n3:documentary)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary), (n1:writer)-[:DIRECTED]->(n3:documentary:tvMovie)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:director)-[:PRODUCED]->(n4:horror), (n1:producer)-[:PRODUCED]->(n2:documentary:video), (n1:writer)-[:DIRECTED]->(n3:documentary:tvMovie)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"5344";"1869219";"1633.1"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music) WHERE (n4.category=""tvSeries"") OR (n1.category=""tvMovie"") RETURN count(n1)";"CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music:tvSeries)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:music:tvMovie), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actress)-[:ACTED_IN]->(n1:music:tvMovie), (n3:soundtrack)-[:ACTED_IN]->(n2:music), (n3:actress)-[:ACTED_IN]->(n4:music:tvSeries)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"90832418";"544912614";"100964.1"
"MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:comedy) WHERE (n1.category=""video"") OR (n3.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:comedy:video)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:adult:video), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:comedy)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:director)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n3:adult:video), (n2:cinematographer)-[:CINEMATOGRAPHER_OF]->(n1:comedy:video)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"10352891";"658157055";"95250.0"
"MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary), (n3:soundtrack)-[:COMPOSED]->(n1:drama) WHERE (n3.death=2019) OR (n2.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n3:music_department:death_2019)-[:COMPOSED]->(n2:documentary), (n3:soundtrack:death_2019)-[:COMPOSED]->(n1:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:music_department)-[:COMPOSED]->(n2:documentary:movie), (n3:soundtrack)-[:COMPOSED]->(n1:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:music_department:death_2019)-[:COMPOSED]->(n2:documentary:movie), (n3:soundtrack:death_2019)-[:COMPOSED]->(n1:drama)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"431581";"6128535";"3286.2"
"MATCH (n3:music_department)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:COMPOSED]->(n2:romance) WHERE (n2.year=1990) OR (n1.category=""tvSpecial"") RETURN count(n1)";"CALL () {
  MATCH (n3:music_department)-[:ACTED_IN]->(n1:music), (n3:soundtrack)-[:COMPOSED]->(n2:romance:year_1990)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:music_department)-[:ACTED_IN]->(n1:music:tvSpecial), (n3:soundtrack)-[:COMPOSED]->(n2:romance)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:music_department)-[:ACTED_IN]->(n1:music:tvSpecial), (n3:soundtrack)-[:COMPOSED]->(n2:romance:year_1990)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"6229";"886877";"486.2"
"MATCH (n1:composer)-[:COMPOSED]->(n3:western), (n1:composer)-[:COMPOSED]->(n2:drama) WHERE (n3.year=1969) OR (n3.category=""movie"") RETURN count(n1)";"CALL () {
  MATCH (n1:composer)-[:COMPOSED]->(n3:western:year_1969), (n1:composer)-[:COMPOSED]->(n2:drama)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:composer)-[:COMPOSED]->(n3:western:movie), (n1:composer)-[:COMPOSED]->(n2:drama)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:composer)-[:COMPOSED]->(n3:western:year_1969:movie), (n1:composer)-[:COMPOSED]->(n2:drama)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"161284";"1216827";"374.4"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:sport), (n1:actress)-[:ACTED_IN]->(n4:comedy), (n1:actress)-[:ACTED_IN]->(n2:documentary) WHERE (n3.year=1993) OR (n2.category=""video"") RETURN count(n1)";"CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:sport:year_1993), (n1:actress)-[:ACTED_IN]->(n4:comedy), (n1:actress)-[:ACTED_IN]->(n2:documentary)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:sport), (n1:actress)-[:ACTED_IN]->(n4:comedy), (n1:actress)-[:ACTED_IN]->(n2:documentary:video)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n1:actress)-[:ACTED_IN]->(n3:sport:year_1993), (n1:actress)-[:ACTED_IN]->(n4:comedy), (n1:actress)-[:ACTED_IN]->(n2:documentary:video)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"903495";"18388545";"6119.3"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:reality_tv), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n4:producer)-[:ACTED_IN]->(n1:reality_tv) WHERE (n1.category=""tvSpecial"") OR (n2.year=0) RETURN count(n1)";"CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:reality_tv:tvSpecial), (n3:actor)-[:ACTED_IN]->(n2:documentary), (n4:producer)-[:ACTED_IN]->(n1:reality_tv:tvSpecial)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:reality_tv), (n3:actor)-[:ACTED_IN]->(n2:documentary:year_0), (n4:producer)-[:ACTED_IN]->(n1:reality_tv)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n3:actor)-[:ACTED_IN]->(n1:reality_tv:tvSpecial), (n3:actor)-[:ACTED_IN]->(n2:documentary:year_0), (n4:producer)-[:ACTED_IN]->(n1:reality_tv:tvSpecial)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"172444";"18899897";"7608.0"
"MATCH (n2:writer)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:director)-[:DIRECTED]->(n1:adult) WHERE (n2.name=""James Avalon"") OR (n2.death=0) RETURN count(n1)";"CALL () {
  MATCH (n2:writer)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:camera_department)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:director)-[:DIRECTED]->(n1:adult)
  WHERE n2.name=""James Avalon""
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:writer:death_0)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:camera_department:death_0)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:director:death_0)-[:DIRECTED]->(n1:adult)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:writer:death_0)-[:CINEMATOGRAPHER_OF]->(n4:adult), (n2:camera_department:death_0)-[:CINEMATOGRAPHER_OF]->(n3:adult), (n2:director:death_0)-[:DIRECTED]->(n1:adult)
  WHERE n2.name=""James Avalon""
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"A";"50%";"182856";"2460389";"1182.4"
"MATCH (n2:music_department)-[:ACTED_IN]->(n3:crime), (n2:music_department)-[:ACTED_IN]->(n1:romance) WHERE (n3.year=1981) OR (n2.death=2012) RETURN count(n1)";"CALL () {
  MATCH (n2:music_department)-[:ACTED_IN]->(n3:crime:year_1981), (n2:music_department)-[:ACTED_IN]->(n1:romance)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n2:music_department:death_2012)-[:ACTED_IN]->(n3:crime), (n2:music_department:death_2012)-[:ACTED_IN]->(n1:romance)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n2:music_department:death_2012)-[:ACTED_IN]->(n3:crime:year_1981), (n2:music_department:death_2012)-[:ACTED_IN]->(n1:romance)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"9092";"341572";"217.3"
"MATCH (n4:director)-[:PRODUCED]->(n3:drama), (n4:producer)-[:DIRECTED]->(n1:drama), (n4:director)-[:PRODUCED]->(n2:documentary) WHERE (n1.year=1997) OR (n4.death=0) RETURN count(n1)";"CALL () {
  MATCH (n4:director)-[:PRODUCED]->(n3:drama), (n4:producer)-[:DIRECTED]->(n1:drama:year_1997), (n4:director)-[:PRODUCED]->(n2:documentary)
  RETURN count(*) AS t1
}
CALL () {
  MATCH (n4:director:death_0)-[:PRODUCED]->(n3:drama), (n4:producer:death_0)-[:DIRECTED]->(n1:drama), (n4:director:death_0)-[:PRODUCED]->(n2:documentary)
  RETURN count(*) AS t2
}
CALL () {
  MATCH (n4:director:death_0)-[:PRODUCED]->(n3:drama), (n4:producer:death_0)-[:DIRECTED]->(n1:drama:year_1997), (n4:director:death_0)-[:PRODUCED]->(n2:documentary)
  RETURN count(*) AS t12
}
RETURN t1 + t2 - t12 AS total";"A OR B";"-";"100%";"1043929";"26855907";"6738.2"
