"Kueri Asal";"Kueri Refactored";"Pola Properti Awal";"Pola Properti Baru";"Persentase Pengurangan";"Jumlah Hasil";"DBHits";"Running Time"
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"A";"A";"0%";"336";"2535";"105.3"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";"A";"A";"0%";"1540";"6316";"62.7"
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"A";"A";"0%";"38180";"307545";"205.6"
"MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1)";"MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary:year_1997) RETURN count(n1)";"A";"-";"100%";"36015";"1478656";"1063.4"
"MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama) WHERE (n2.year=1999) RETURN count(n1)";"MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama:year_1999) RETURN count(n1)";"A";"-";"100%";"29954847";"105227094";"25576.6"
"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation) WHERE (n1.year=1973) RETURN count(n1)";"MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation:year_1973) RETURN count(n1)";"A";"-";"100%";"169";"771352";"334.4"
"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure) WHERE (n1.year=2008) RETURN count(n1)";"MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure:year_2008) RETURN count(n1)";"A";"-";"100%";"4761";"168485";"138.0"
"MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western) WHERE (n2.year=1915) RETURN count(n1)";"MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western:year_1915) RETURN count(n1)";"A";"-";"100%";"5033";"28412";"57.2"
"MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n1.year=2006) RETURN count(n1)";"MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy:year_2006), (n3:director)-[:ACTED_IN]->(n2:drama) RETURN count(n1)";"A";"-";"100%";"16820";"316832";"228.3"
"MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance) WHERE (n1.year=2004) RETURN count(n1)";"MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance:year_2004) RETURN count(n1)";"A";"-";"100%";"298968";"1068232";"402.4"
"MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama) WHERE (n4.year=1985) RETURN count(n1)";"MATCH (n3:producer)-[:ACTED_IN]->(n2:fantasy), (n3:actor)-[:ACTED_IN]->(n1:romance), (n3:writer)-[:ACTED_IN]->(n4:drama:year_1985) RETURN count(n1)";"A";"-";"100%";"228372016";"784576359";"182200.6"
"MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy), (n4:producer)-[:DIRECTED]->(n1:drama) WHERE (n2.year=0) RETURN count(n1)";"MATCH (n4:director)-[:ACTED_IN]->(n3:talk_show), (n4:producer)-[:DIRECTED]->(n2:comedy:year_0), (n4:producer)-[:DIRECTED]->(n1:drama) RETURN count(n1)";"A";"-";"100%";"1179321";"102236112";"28193.3"
"MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi) WHERE (n3.year=2001) RETURN count(n1)";"MATCH (n1:writer)-[:PRODUCED]->(n4:documentary), (n1:writer)-[:PRODUCED]->(n2:comedy), (n1:producer)-[:PRODUCED]->(n3:sci_fi:year_2001) RETURN count(n1)";"A";"-";"100%";"884";"66739";"100.4"
"MATCH (n2:composer)-[:COMPOSED]->(n1:documentary), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) WHERE (n1.year=1965) RETURN count(n1)";"MATCH (n2:composer)-[:COMPOSED]->(n1:documentary:year_1965), (n2:soundtrack)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n4:documentary) RETURN count(n1)";"A";"-";"100%";"179184";"1402070";"456.4"
"MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action), (n1:music_department)-[:COMPOSED]->(n4:crime) WHERE (n2.year=1977) RETURN count(n1)";"MATCH (n1:music_department)-[:COMPOSED]->(n3:action), (n1:music_department)-[:COMPOSED]->(n2:action:year_1977), (n1:music_department)-[:COMPOSED]->(n4:crime) RETURN count(n1)";"A";"-";"100%";"4867524";"53914162";"10774.5"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller), (n2:actor)-[:ACTED_IN]->(n3:drama) WHERE (n1.category=""tvMovie"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:thriller:tvMovie), (n2:actor)-[:ACTED_IN]->(n3:drama) RETURN count(n1)";"A";"-";"100%";"557670";"3449571";"2950.9"
"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) WHERE (n3.category=""movie"") RETURN count(n1)";"MATCH (n4:composer)-[:COMPOSED]->(n3:mystery:movie), (n4:composer)-[:COMPOSED]->(n2:comedy), (n4:music_department)-[:COMPOSED]->(n1:drama) RETURN count(n1)";"A";"-";"100%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy) WHERE (n2.category=""movie"") RETURN count(n1)";"MATCH (n3:actress)-[:ACTED_IN]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n4:thriller), (n3:soundtrack)-[:ACTED_IN]->(n2:fantasy:movie) RETURN count(n1)";"A";"-";"100%";"537335";"10962750";"2598.9"
"MATCH (n2:actress)-[:ACTED_IN]->(n4:animation), (n2:actress)-[:ACTED_IN]->(n1:animation), (n2:actress)-[:ACTED_IN]->(n3:sci_fi) WHERE (n2.birth=1952) RETURN count(n1)";"MATCH (n2:actress:birth_1952)-[:ACTED_IN]->(n4:animation), (n2:actress:birth_1952)-[:ACTED_IN]->(n1:animation), (n2:actress:birth_1952)-[:ACTED_IN]->(n3:sci_fi) RETURN count(n1)";"A";"-";"100%";"5478924";"17084581";"2769.6"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:documentary), (n1:writer)-[:ACTED_IN]->(n2:music), (n1:producer)-[:ACTED_IN]->(n3:documentary) WHERE (n1.death=0) RETURN count(n1)";"MATCH (n1:producer:death_0)-[:ACTED_IN]->(n4:documentary), (n1:writer:death_0)-[:ACTED_IN]->(n2:music), (n1:producer:death_0)-[:ACTED_IN]->(n3:documentary) RETURN count(n1)";"A";"-";"100%";"TIMEOUT";"TIMEOUT";"TIMEOUT"
"MATCH (n2:actor)-[:ACTED_IN]->(n3:drama), (n2:actor)-[:ACTED_IN]->(n1:game_show) WHERE (n2.death=2009 AND n2.birth=1923) RETURN count(n1)";"MATCH (n2:actor:death_2009:birth_1923)-[:ACTED_IN]->(n3:drama), (n2:actor:death_2009:birth_1923)-[:ACTED_IN]->(n1:game_show) RETURN count(n1)";"A AND B";"-";"100%";"2107";"5314889";"1146.9"
"MATCH (n1:actress)-[:ACTED_IN]->(n3:drama), (n1:actress)-[:ACTED_IN]->(n2:drama) WHERE (n1.birth=1957 AND n2.year=1987) RETURN count(n1)";"MATCH (n1:actress:birth_1957)-[:ACTED_IN]->(n3:drama), (n1:actress:birth_1957)-[:ACTED_IN]->(n2:drama:year_1987) RETURN count(n1)";"A AND B";"-";"100%";"415249";"1501073";"498.6"
"MATCH (n4:music_department)-[:COMPOSED]->(n2:documentary), (n4:soundtrack)-[:COMPOSED]->(n1:documentary), (n4:soundtrack)-[:COMPOSED]->(n3:sport) WHERE (n3.year=1950 AND n4.birth=1911) RETURN count(n1)";"MATCH (n4:music_department:birth_1911)-[:COMPOSED]->(n2:documentary), (n4:soundtrack:birth_1911)-[:COMPOSED]->(n1:documentary), (n4:soundtrack:birth_1911)-[:COMPOSED]->(n3:sport:year_1950) RETURN count(n1)";"A AND B";"-";"100%";"11470";"318915";"167.0"
"MATCH (n3:producer)-[:DIRECTED]->(n1:animation), (n3:director)-[:DIRECTED]->(n2:animation) WHERE (n2.category=""short"" AND n3.birth=1905) RETURN count(n1)";"MATCH (n3:producer:birth_1905)-[:DIRECTED]->(n1:animation), (n3:director:birth_1905)-[:DIRECTED]->(n2:animation:short) RETURN count(n1)";"A AND B";"-";"100%";"551";"10036";"40.0"
"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult), (n1:actor)-[:ACTED_IN]->(n2:adult) WHERE (n3.category=""video"" AND n2.category=""video"") RETURN count(n1)";"MATCH (n1:producer)-[:ACTED_IN]->(n4:adult), (n1:director)-[:PRODUCED]->(n3:adult:video), (n1:actor)-[:ACTED_IN]->(n2:adult:video) RETURN count(n1)";"A AND B";"-";"100%";"91844700";"279420394";"155752.3"
"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller), (n1:soundtrack)-[:ACTED_IN]->(n2:drama) WHERE (n4.category=""tvMovie"" AND n2.category=""movie"") RETURN count(n1)";"MATCH (n1:actress)-[:PRODUCED]->(n3:romance), (n1:soundtrack)-[:ACTED_IN]->(n4:thriller:tvMovie), (n1:soundtrack)-[:ACTED_IN]->(n2:drama:movie) RETURN count(n1)";"A AND B";"-";"100%";"131";"168235";"183.1"
"MATCH (n2:director)-[:ACTED_IN]->(n1:adventure), (n2:director)-[:ACTED_IN]->(n3:romance) WHERE (n2.death=1972 AND n3.category=""movie"") RETURN count(n1)";"MATCH (n2:director:death_1972)-[:ACTED_IN]->(n1:adventure), (n2:director:death_1972)-[:ACTED_IN]->(n3:romance:movie) RETURN count(n1)";"A AND B";"-";"100%";"2717";"32086";"25.4"
"MATCH (n3:music_department)-[:COMPOSED]->(n1:romance), (n3:music_department)-[:COMPOSED]->(n2:documentary) WHERE (n1.category=""movie"" AND n3.death=2005) RETURN count(n1)";"MATCH (n3:music_department:death_2005)-[:COMPOSED]->(n1:romance:movie), (n3:music_department:death_2005)-[:COMPOSED]->(n2:documentary) RETURN count(n1)";"A AND B";"-";"100%";"84";"18733";"27.1"
"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport) WHERE (n4.category=""tvSpecial"" AND n2.name=""Sam Anoai"") RETURN count(n1)";"MATCH (n2:actor)-[:ACTED_IN]->(n1:sport), (n2:actor)-[:ACTED_IN]->(n3:sport), (n2:stunts)-[:ACTED_IN]->(n4:sport:tvSpecial) WHERE (n2.name=""Sam Anoai"") RETURN count(n1)";"A AND B";"A";"50%";"22780";"1027384";"126.9"
