Kueri Baseline;Kueri Refactored;Pola Properti Awal;Pola Properti Baru;Persentase Pengurangan;Jumlah Hasil;DBHits;Running Time
"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";"MATCH (n2:soundtrack)-[:ACTED_IN]->(n1:thriller), (n2:actress)-[:ACTED_IN]->(n3:comedy) WHERE (n2.name=""Molly Ringwald"") RETURN count(n1)";A;A;0%;336;121785;200.9
"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";"MATCH (n3:actress)-[:ACTED_IN]->(n1:drama), (n3:actress)-[:ACTED_IN]->(n2:thriller) WHERE (n3.name=""Marijam Agischewa"") RETURN count(n1)";A;A;0%;1540;1548197;3114.5
"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";"MATCH (n4:actor)-[:ACTED_IN]->(n2:documentary), (n4:soundtrack)-[:ACTED_IN]->(n3:music), (n4:soundtrack)-[:ACTED_IN]->(n1:comedy) WHERE (n4.name=""Christopher Guest"") RETURN count(n1)";A;A;0%;38180;441227;86.3
MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary) WHERE (n3.year=1997) RETURN count(n1);MATCH (n1:producer)-[:ACTED_IN]->(n2:news), (n1:actor)-[:ACTED_IN]->(n3:documentary)-[:RELEASED_IN]->(:year_1997) RETURN count(n1);A;-;100%;36015;1606500;645.7
MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama) WHERE (n2.year=1999) RETURN count(n1);MATCH (n3:actor)-[:ACTED_IN]->(n1:drama), (n3:actor)-[:ACTED_IN]->(n2:drama)-[:RELEASED_IN]->(:year_1999) RETURN count(n1);A;-;100%;29954847;105389468;12491.5
MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation) WHERE (n1.year=1973) RETURN count(n1);MATCH (n3:actress)-[:ACTED_IN]->(n2:thriller), (n3:actress)-[:ACTED_IN]->(n1:animation)-[:RELEASED_IN]->(:year_1973) RETURN count(n1);A;-;100%;169;825906;102.7
MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure) WHERE (n1.year=2008) RETURN count(n1);MATCH (n3:actor)-[:ACTED_IN]->(n2:drama), (n3:actor)-[:DIRECTED]->(n1:adventure)-[:RELEASED_IN]->(:year_2008) RETURN count(n1);A;-;100%;4761;586640;165.2
MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western) WHERE (n2.year=1915) RETURN count(n1);MATCH (n3:director)-[:DIRECTED]->(n1:comedy), (n3:producer)-[:ACTED_IN]->(n2:western)-[:RELEASED_IN]->(:year_1915) RETURN count(n1);A;-;100%;5033;44051;17.6
MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy), (n3:director)-[:ACTED_IN]->(n2:drama) WHERE (n1.year=2006) RETURN count(n1);MATCH (n3:writer)-[:ACTED_IN]->(n1:fantasy)-[:RELEASED_IN]->(:year_2006), (n3:director)-[:ACTED_IN]->(n2:drama) RETURN count(n1);A;-;100%;16820;4862069;4757.1
MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance) WHERE (n1.year=2004) RETURN count(n1);MATCH (n2:actor)-[:COMPOSED]->(n3:drama), (n2:composer)-[:COMPOSED]->(n1:romance)-[:RELEASED_IN]->(:year_2004) RETURN count(n1);A;-;100%;298968;69441345;9490.8
