;;;;validasi
total unique value baseline;537;total label baru;537;True
total node category;6342088;total relationship has_category;6342088;True
total node year;6342088;total relationship released_in;6342088;True
total node birth;3583257;total relationship born_in;3583257;True
total node death;3583257;total relationship died_in;3583257;True
total node baseline;19850690;total relationship baru;19850690;True

category type;jumlah category type;nama label baru;jumlah relationship;validasi;;year type;jumlah year type;nama label baru;jumlah relationship;validasi;;birth type;jumlah birth type;nama label baru;jumlah relationship;validasi;;death type;jumlah death type;nama label baru;jumlah relationship;validasi;;year,death,birth type;Jumlah year,death,birth type;jumlah relationship;validasi
tvEpisode;4587657;tvEpisode;4587657;True;;0;624693;year_0;624693;True;;0;3209521;year_0;3209521;True;;0;3453973;year_0;3453973;True;;0;7288187;7288187;True
short;639766;short;639766;True;;2017;326849;year_2017;326849;True;;1980;6439;year_1980;6439;True;;2020;3510;year_2020;3510;True;;2017;329974;329974;True
movie;492210;movie;492210;True;;2016;315054;year_2016;315054;True;;1978;6358;year_1978;6358;True;;2016;3218;year_2016;3218;True;;2016;318278;318278;True
video;265757;video;265757;True;;2018;309713;year_2018;309713;True;;1979;6302;year_1979;6302;True;;2019;3124;year_2019;3124;True;;2018;312831;312831;True
tvSeries;162227;tvSeries;162227;True;;2015;301687;year_2015;301687;True;;1981;6195;year_1981;6195;True;;2017;3123;year_2017;3123;True;;2015;304807;304807;True
tvMovie;116975;tvMovie;116975;True;;2019;293391;year_2019;293391;True;;1982;6192;year_1982;6192;True;;2018;3118;year_2018;3118;True;;2019;296516;296516;True
tvMiniSeries;28085;tvMiniSeries;28085;True;;2014;286661;year_2014;286661;True;;1977;5926;year_1977;5926;True;;2015;3116;year_2015;3116;True;;2014;289657;289657;True
tvSpecial;26082;tvSpecial;26082;True;;2013;274407;year_2013;274407;True;;1976;5852;year_1976;5852;True;;2014;2981;year_2014;2981;True;;2013;277343;277343;True
videoGame;15693;videoGame;15693;True;;2012;256827;year_2012;256827;True;;1984;5756;year_1984;5756;True;;2012;2953;year_2012;2953;True;;2012;259812;259812;True
tvShort;7633;tvShort;7633;True;;2020;240885;year_2020;240885;True;;1975;5722;year_1975;5722;True;;2013;2921;year_2013;2921;True;;2020;244396;244396;True
audiobook;1;audiobook;1;True;;2011;230219;year_2011;230219;True;;1974;5717;year_1974;5717;True;;2011;2875;year_2011;2875;True;;2011;233133;233133;True
radioSeries;1;radioSeries;1;True;;2010;201811;year_2010;201811;True;;1983;5646;year_1983;5646;True;;2010;2775;year_2010;2775;True;;2010;204647;204647;True
episode;1;episode;1;True;;2009;178162;year_2009;178162;True;;1970;5587;year_1970;5587;True;;2009;2711;year_2009;2711;True;;2009;180950;180950;True
;;;;;;2008;166310;year_2008;166310;True;;1972;5544;year_1972;5544;True;;2008;2619;year_2008;2619;True;;2008;169027;169027;True
